name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,unknown_teff,unknown_age,unknown_radius,unknown_period,unknown_impact,unknown_mag_v
HD 191939 g,Confirmed,,0.006,0.006,0.0488,0.006,0.006,,,,284.0,10.0,10.0,0.812,0.028,0.028,0.03,0.011,0.025,,,,,2022,2023-06-02,18.0,65.0,65.0,2459385.0,13.0,13.0,,,,,,,,,,,,,,,,,,,1.53,0.23,0.23,278.0,6.0,6.0,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,TOI-1339 g,,HD 191939,302.025000002,66.850277795,9.0,,,,,53.608,0.073,0.073,-0.16,0.08,0.08,0.81,0.04,0.04,0.945,0.021,0.021,G8V,7.0,3.0,3.0,5427.0,50.0,50.0,,,,False,False,True,False,True,False
HD 195019 Ab,Confirmed,,0.3,0.3,3.7,0.3,0.3,,,,18.20163,0.0004,0.0004,0.1388,0.008,0.008,0.014,0.0044,0.0044,,,,0.003715,1998,2024-07-28,322.0,20.0,20.0,11015.0,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 195019 A,307.0708333,18.77,6.91,,,,,37.36,1.2,1.2,0.08,0.04,0.04,1.06,,,1.38,,,G3 IV-V,5.33,,,5787.0,31.0,31.0,,,,False,False,True,False,True,False
HD 199509 Ab,Confirmed,,0.016,0.012,0.136,0.016,0.012,,,,99.6,0.1,0.1,0.426,0.019,0.018,0.373,0.087,0.09,,,,,2012,2025-02-11,316.962,12.411,15.866,,,,,,,,,,,,,,,,,,,,,,6.279,0.368,0.279,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 199509 A,317.33636492545,-82.02725243619,6.995,6.298,5.816,5.526,5.425,24.3056,0.0204,0.0204,-0.307,0.028,0.028,1.04,0.135,0.135,0.9,0.0372,0.0372,G2V,,,,5796.02,106.578,106.578,,,,False,True,True,False,True,False
HD 20003 b,Confirmed,,0.0031,0.0031,0.0378,0.0031,0.0031,,,,11.849,0.0028,0.0028,0.0974,0.0016,0.0016,0.4,0.08,0.08,,,,0.002224,2011,2011-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 20003,46.9083333,-72.3219444,8.37,,,,,43.8,1.5,1.5,,,,,,,,,,G8V,,,,,,,,,,True,True,True,False,True,False
HD 20003 c,Confirmed,,0.004,0.004,0.0422,0.004,0.004,,,,33.823,0.0654,0.0654,0.1961,0.0032,0.0032,0.16,0.09,0.09,,,,0.004477,2011,2011-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 20003,46.9083333,-72.3219444,8.37,,,,,43.8,1.5,1.5,,,,,,,,,,G8V,,,,,,,,,,True,True,True,False,True,False
HD 204313 c,Confirmed,,0.0053,0.0053,0.0553,0.0053,0.0053,,,,34.905,0.012,0.012,0.2099,0.0071,0.0071,0.155,0.071,0.071,,,,0.00444,2011,2019-06-13,238.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,3.42,0.22,0.22,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 204313,322.05,-21.7263889,7.99,,,,,47.37,1.39,1.39,0.18,0.02,0.02,1.045,0.033,0.033,,,,G5V,3.38,2.58,2.58,5767.0,17.0,17.0,,,,False,False,True,False,True,False
HD 205158 b,Confirmed,,0.045,0.039,0.392,0.045,0.039,,,,25.3,0.003,0.004,0.177,0.009,0.008,0.145,0.058,0.075,,,,,2022,2024-06-18,27.309,5.595,5.085,,,,,,,,,,,,,,,,,,,,,,24.793,1.414,1.33,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 205158,323.91882864851,-59.69319825593,7.84,,6.797,6.506,6.457,86.6159,0.3853,0.3853,,,,1.16,0.158,0.158,1.877,0.0754,0.0754,F8IV,,,,6133.55,106.233,106.233,,,,False,True,True,False,True,False
HD 205739 b,Confirmed,,0.09,0.07,1.37,0.09,0.07,,,,279.8,0.1,0.1,0.896,0.015,0.015,0.27,0.07,0.07,,,,0.009922,2008,2008-09-07,301.0,8.0,8.0,3390.7,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 205739,324.5333333,-31.7375,8.56,,7.59,7.35,7.23,90.3,,,0.19,0.04,0.04,1.22,0.06,0.06,1.33,0.1,0.1,F7V,2.84,0.92,0.92,6176.0,30.0,30.0,,,,False,False,True,False,True,False
HD 206255 b,Confirmed,,0.0223,0.0223,0.1076,0.0223,0.0223,,,,96.045,0.317,0.317,0.461,0.009,0.009,0.23,0.11,0.11,,,,,2019,2019-04-19,86.92,44.9,44.9,,,,,,,,,,,,,,,,,,,,,,3.92,0.8,0.8,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 206255,325.59,-50.09,,,,,,75.41,0.18,0.18,,,,1.42,0.08,0.08,,,,G5IV/V,,,,5635.0,99.0,82.0,,,,False,True,True,False,True,True
HD 20781 c,Confirmed,,0.00211,0.0022,0.01677,0.00211,0.0022,,,,13.8905,0.0034,0.0034,0.1,0.0051,0.0046,0.09,0.09,0.09,,,,,2011,2024-02-19,7.44,70.0,54.0,,,,,,,,,,,,,,,,,,,,,,1.81,0.16,0.16,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 20781,50.0125,-28.7838889,8.44,,,,,35.4,1.0,1.0,,,,,,,,,,G9.5V,,,,,,,,,,True,True,True,False,True,False
HD 20781 d,Confirmed,,0.0037,0.0038,0.0334,0.0037,0.0038,,,,29.158,0.01,0.0102,0.1647,0.0083,0.0076,0.11,0.06,0.05,,,,,2019,2021-08-17,60.99,30.03,30.79,2455511.3258,2.4382,2.4394,,,,,,,,,,,,,,,,,,,2.82,0.16,0.17,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"2MASS J03200291-2847016 d, CD-29 1229 d, CPD-29 381 d, HD 20782 B d, HIP 15526 d, SAO 168468 d, TYC 6445-00983-1 d, WISE J032003.21-284702.4 d",,HD 20781,50.0125,-28.7838889,8.44,,,,,35.4,1.0,1.0,,,,,,,,,,G9.5V,,,,,,,,,,True,True,True,False,True,False
HD 20781 e,Confirmed,,0.0049,0.0049,0.0442,0.0049,0.0049,,,,85.5073,0.0947,0.0983,0.3374,0.017,0.0155,0.06,0.04,0.06,,,,,2019,2021-08-17,70.59,67.58,61.4,2455513.3912,16.009,14.3623,,,,,,,,,,,,,,,,,,,2.6,0.14,0.14,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"2MASS J03200291-2847016 e, CD-29 1229 e, CPD-29 381 e, HD 20782 B e, HIP 15526 e, SAO 168468 e, TYC 6445-00983-1 e, WISE J032003.21-284702.4 e",,HD 20781,50.0125,-28.7838889,8.44,,,,,35.4,1.0,1.0,,,,,,,,,,G9.5V,,,,,,,,,,True,True,True,False,True,False
HD 207832 Ab,Confirmed,,0.03,0.06,0.56,0.03,0.06,,,,161.97,0.78,0.97,0.57,0.002,0.002,0.13,0.05,0.18,,,,,2012,2024-08-06,130.8,83.4,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 207832 b,,HD 207832 A,328.15,-26.0267,8.7986,,,,,54.4,2.7,2.7,0.06,,,0.94,0.1,0.1,0.901,0.056,0.056,G5V,4.5,4.5,0.0,5710.0,81.0,81.0,,,HD 207832,False,False,True,False,True,False
HD 208487 b,Confirmed,,0.05,0.05,0.413,0.05,0.05,,,,129.8,0.4,0.4,0.51,0.02,0.02,0.21,0.09,0.09,,,,0.011333,2004,2010-12-23,123.0,40.0,40.0,51008.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 208487,329.3291667,-37.7636111,7.48,,,,,45.0,,,-0.06,0.05,0.05,1.3,,,1.15,,,G2V,3.88,,,5929.0,,,,,,False,False,True,False,True,False
HD 211403 b,Confirmed,,0.39,0.39,5.54,0.39,0.39,,,,223.8,0.41,0.41,0.768,0.013,0.013,0.084,0.044,0.057,,,,,2021,2021-07-13,190.0,57.0,51.0,2455929.0,54.0,27.0,,,,,,,,,,,,,,,,,,,165.5,10.0,10.0,380.0,13.0,13.0,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 211403,333.816666672,58.275555568,8.5,,,,,83.29,0.2,0.2,0.18,0.04,0.04,1.2,0.06,0.06,1.206,0.08,0.08,F7V,,,,6273.0,44.0,44.0,,,,False,True,True,False,True,False
HD 213519 Ab,Confirmed,,0.004,0.009,0.029,0.004,0.009,,,,11.1,0.001,0.001,0.099,0.004,0.004,0.413,0.144,0.172,,,,,2022,2024-06-19,35.555,16.739,21.663,,,,,,,,,,,,,,,,,,,,,,2.813,0.386,1.417,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 213519 A,337.77385069745,45.14509929369,,,6.47,6.203,6.14,41.0,0.0566,0.0566,0.01,0.1,0.1,1.05,0.132,0.132,1.083,0.044,0.044,G1V,,,,5840.0,103.53,103.53,,,,False,True,True,False,True,True
HD 21411 b,Confirmed,,0.0805,0.0805,0.2073,0.0805,0.0805,,,,84.288,0.127,0.127,0.362,0.007,0.007,0.4,0.15,0.15,,,,,2019,2019-04-19,332.4,17.74,17.74,,,,,,,,,,,,,,,,,,,,,,11.47,4.33,4.33,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 21411,51.55,-30.62,,,,,,29.15,0.03,0.03,,,,0.89,0.05,0.05,,,,G8V,,,,5605.0,132.0,247.0,,,,False,True,True,False,True,True
HD 215152 d,Confirmed,,0.00259,0.00287,0.008511,0.00259,0.00287,,,,10.8642,0.005,0.00617,0.08799,0.00115,0.00113,0.333,0.326,0.182,,,,0.003963,2011,2018-02-20,184.2,131.6,151.5,,,,,,,,,,,,,,,,,,,,,,0.986,0.317,0.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 215152,340.8375,-6.4008333,6.45,,,,,21.5,0.4,0.4,-0.1,0.04,0.04,0.77,0.015,0.015,0.73,0.018,0.018,K3V,,,,4935.0,76.0,76.0,IR Excess,,,False,True,True,False,True,False
HD 215152 e,Confirmed,,0.006711,0.00145,0.01091,0.006711,0.00145,,,,25.1968,0.0526,0.0478,0.15417,0.00204,0.00199,0.173,0.169,0.287,,,,,2018,2018-02-20,163.9,167.1,167.3,,,,,,,,,,,,,,,,,,,,,,0.914,0.559,0.128,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 215152,340.8375,-6.4008333,6.45,,,,,21.5,0.4,0.4,-0.1,0.04,0.04,0.77,0.015,0.015,0.73,0.018,0.018,K3V,,,,4935.0,76.0,76.0,IR Excess,,,False,True,True,False,True,False
HD 215456 Ab,Confirmed,,,,0.101,,,,,,191.99,,,0.652,,,0.15,,,,,,0.017158,2011,2024-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 215456 A,341.5333333,-48.9677778,6.63,,,,,39.6064,0.07645,0.07645,-0.085,0.007,0.007,1.04,0.129,0.129,1.72,0.092,0.092,G1IV,7.53,,,5794.01,137.535,137.535,,,,False,False,True,False,True,False
HD 216520 b,Confirmed,,0.00311,0.00311,0.03228,0.00311,0.00311,,,,35.45,0.011,0.011,0.198,0.0004,0.0004,0.09,0.06,0.06,,,,,2020,2021-06-27,220.95,125.17,125.17,,,,,,,,,,,,,,,,,,,,,,2.28,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"2MASS J22473183+8341493 b, BD+82 704 b, HIP 112527 b, LSPM J2247+8341 b, SAO 3796 b, TIC 264899051 b, TYC 4650-00917-1 b, WISE J224731.02+834150.7 b",,HD 216520,341.882812,83.697029,,,5.951,5.524,,19.56,0.01,0.01,-0.16,,,0.82,0.04,0.04,0.76,0.01,0.01,K0 V,6.0,-3.0,3.0,5103.0,20.0,20.0,,,"2MASS J22473183+8341493, BD+82 704, HIP 112527, LSPM J2247+8341, SAO 3796, TIC 264899051, TYC 4650-00917-1, WISE J224731.02+834150.7",False,False,True,False,True,True
HD 216520 c,Confirmed,,0.00513,0.00513,0.0297,0.00513,0.00513,,,,154.43,0.44,0.44,0.528,0.01,0.01,0.12,0.08,0.08,,,,,2020,2021-06-27,198.12,96.34,96.34,,,,,,,,,,,,,,,,,,,,,,1.29,0.22,0.22,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"2MASS J22473183+8341493 c, BD+82 704 c, HIP 112527 c, LSPM J2247+8341 c, SAO 3796 c, TIC 264899051 c, TYC 4650-00917-1 c, WISE J224731.02+834150.7 c",,HD 216520,341.882812,83.697029,,,5.951,5.524,,19.56,0.01,0.01,-0.16,,,0.82,0.04,0.04,0.76,0.01,0.01,K0 V,6.0,-3.0,3.0,5103.0,20.0,20.0,,,"2MASS J22473183+8341493, BD+82 704, HIP 112527, LSPM J2247+8341, SAO 3796, TIC 264899051, TYC 4650-00917-1, WISE J224731.02+834150.7",False,False,True,False,True,True
HD 216536 b,Confirmed,,0.12,0.2,1.47,0.12,0.2,,,,148.6,0.7,0.7,0.609,0.002,0.002,0.38,0.12,0.12,,,,,2015,2016-01-10,270.0,21.0,21.0,2453587.0,11.0,11.0,,,,,,,,,,,,,,,,,,,50.0,4.0,8.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 216536,343.266550075224,44.47774384403506,9.23,,,,,,,,-0.17,0.09,0.09,1.36,0.38,0.38,12.5,4.0,4.0,K0,3.8,4.3,2.0,4639.0,45.0,45.0,,,,False,False,True,False,True,False
HD 216770 b,Confirmed,,,,0.65,,,,,,118.45,0.4,0.4,0.46,,,0.37,0.06,0.06,,,,0.012105,2003,2010-12-29,281.0,10.0,10.0,52672.0,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 216770,343.9708333,-26.6586111,8.1,,,,,38.0,,,0.23,,,0.9,,,1.0,,,K1 V,3.6,,,5248.0,,,,,,False,False,True,False,True,False
HD 21693 b,Confirmed,,0.0046,0.0046,0.0322,0.0046,0.0046,,,,22.656,0.0236,0.0236,0.1484,0.0024,0.0024,0.26,0.17,0.17,,,,0.00458,2011,2011-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 21693,51.8,-58.3236111,7.94,,,,,32.4,0.5,0.5,,,,,,,,,,G9IV,,,,,,,,,,True,True,True,False,True,False
HD 21693 c,Confirmed,,0.0057,0.0057,0.06472,0.0057,0.0057,,,,53.881,0.0704,0.0704,0.2644,0.0044,0.0044,0.24,0.09,0.09,,,,0.00816,2011,2011-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 21693,51.8,-58.3236111,7.94,,,,,32.4,0.5,0.5,,,,,,,,,,G9IV,,,,,,,,,,True,True,True,False,True,False
HD 218566 b,Confirmed,,0.02,0.02,0.21,0.02,0.02,,,,225.7,0.4,0.4,0.6873,0.0008,0.0008,0.3,0.1,0.1,,,,0.022956,2010,2010-11-18,36.0,24.0,24.0,10360.0,154.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 218566,347.2958333,-2.2608333,8.63,,,,,29.94,1.11,1.11,0.38,,,0.85,0.03,0.03,0.86,0.08,0.08,K3V,8.5,,,4820.0,,,,,,False,False,True,False,True,False
HD 219134 d,Confirmed,0.05236,,,0.067,0.004,0.004,,,,46.71,0.01,0.01,0.225,,,0.0,,,,,,,2015,2019-09-24,,,,2449964.0,1.0,1.0,,,,,,,,,,,,,,,,,,,4.4,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,,,HD 219134,348.320833339,57.168333338,5.57,,,,,6.55,,,0.11,0.04,0.04,0.794,,,0.778,0.005,0.005,K3V,,,,4699.0,16.0,16.0,,,,False,True,True,False,True,False
HD 219134 f,Confirmed,0.0208,,,0.028,0.003,0.003,,,,22.805,0.005,0.005,0.139,2e-05,2e-05,0.0,,,,,,,2015,2019-09-24,,,,2449983.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2.3,0.2,0.2,,,,,,,,,,Published in a refereed paper,Other,,,,,HD 219134,348.320833339,57.168333338,5.57,,,,,6.55,,,0.11,0.04,0.04,0.794,,,0.778,0.005,0.005,K3V,,,,4699.0,16.0,16.0,,,,False,True,True,False,True,False
HD 219134 g,Confirmed,,0.004,0.004,0.034,0.004,0.004,,,,94.2,0.2,0.2,0.3753,0.0004,0.0004,0.0,,,,,,,2015,2015-11-17,,,,2449972.0,5.0,5.0,,,,,,,,,,,,,,,,,,,1.8,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 219134,348.320833339,57.168333338,5.57,,,,,6.55,,,0.11,0.04,0.04,0.794,,,0.778,0.005,0.005,K3V,,,,4699.0,16.0,16.0,,,,False,True,True,False,True,False
HD 219139 b,Confirmed,,0.2,0.05,0.78,0.2,0.05,,,,275.5,1.0,2.3,0.94,0.07,0.07,0.11,0.08,0.087,,,,,2021,2021-12-16,318.0,67.0,113.0,2455240.1,12.0,109.0,,,,,,,,,,,,,,,,,,,19.2,2.6,1.8,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 219139,348.362500009,11.065000013,,,,,,,,,,,,,,,,,,G5 III,,,,,,,,,,True,True,True,False,True,True
HD 220842 Ab,Confirmed,,0.15,0.15,3.18,0.15,0.15,,,,218.47,0.19,0.19,0.74,0.018,0.018,0.404,0.009,0.009,,,,,2016,2025-02-11,225.1,1.7,1.7,2456624.8,0.8,0.8,,,,,,,,,,,,,,,,,,,108.1,1.2,1.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 220842 b,,HD 220842 A,351.654166679,56.886666687,7.99,,,,,64.6498,0.16735,0.16735,-0.237,0.04,0.04,1.13,,,1.431,0.08,0.08,G0IV-V,,,,5921.14,149.615,149.615,,,HD 220842,False,True,True,False,True,False
HD 224693 b,Confirmed,,,,0.71,,,,,,26.73,0.02,0.02,0.233,,,0.05,0.03,0.03,,,,0.002479,2006,2006-04-17,6.0,200.0,200.0,2453193.9,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 224693,359.975,-22.4280556,8.23,,,,,94.0,,,0.343,0.03,0.03,1.33,0.1,0.1,1.7,0.3,0.3,G2IV,2.0,0.5,0.5,6037.0,44.0,44.0,,,,False,False,True,False,True,False
HD 231701 b,Confirmed,,,,1.08,,,,,,141.89,0.15,0.15,0.53,,,0.096,0.069,0.069,,,,0.004889,2007,2019-06-13,54.4,3.69,3.69,2454885.141,1.422,1.422,,,,,,,,,,,,,,,,,,,39.06,2.64,2.64,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 231701,293.0166667,16.4741667,8.97,,,,,108.4,,,0.07,0.03,0.03,1.14,0.08,0.08,1.35,0.2,0.2,F8V,4.9,1.3,1.3,6208.0,44.0,44.0,,,,False,False,True,False,True,False
HD 25912 b,Confirmed,,0.013,0.013,0.12,0.013,0.013,,,,41.8,0.03,0.02,0.242,0.01,0.009,0.05,0.034,0.039,,,,,2022,2024-06-19,318.187,38.447,46.619,,,,,,,,,,,,,,,,,,,,,,6.675,0.426,0.52,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 25912,60.90797666622,-51.93083915095,8.19,,7.022,6.779,6.71,49.1661,0.05755,0.05755,0.12,0.05,0.05,1.08,0.1296,0.1296,0.9958,0.0408,0.0408,G0V,,,,5920.58,106.287,106.287,,,,False,True,True,False,True,False
HD 27894 b,Confirmed,,0.007,0.009,0.665,0.007,0.009,,,,18.02,0.02,0.01,0.125,0.0001,0.0001,0.047,0.008,0.012,,,,0.002879,2005,2017-06-25,132.2,15.2,2.8,53275.46,0.48,0.48,,,,,,,,,,,,,,,,,,,59.8,0.59,0.8,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 27894,65.1958333,-59.4108333,9.36,,,,,42.37,,,0.3,0.07,0.07,0.8,,,,,,K2 V,3.9,,,4875.0,81.0,81.0,,,,False,False,True,False,True,False
HD 27894 c,Confirmed,,0.04,0.011,0.162,0.04,0.011,,,,36.07,0.09,0.26,0.198,0.001,0.001,0.015,0.002,0.02,,,,,2017,2017-06-25,44.2,7.5,11.0,,,,,,,,,,,,,,,,,,,,,,11.57,2.89,2.79,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 27894,65.1958333,-59.4108333,9.36,,,,,42.37,,,0.3,0.07,0.07,0.8,,,,,,K2 V,3.9,,,4875.0,81.0,81.0,,,,False,False,True,False,True,False
HD 28192 Ab,Confirmed,,0.031,0.024,0.314,0.031,0.024,,,,14.2,0.002,0.002,0.118,0.005,0.005,0.104,0.023,0.042,,,,,2022,2024-07-28,279.469,35.475,30.955,,,,,,,,,,,,,,,,,,,,,,25.159,1.305,0.498,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 28192 A,66.70341679312,-1.72463091224,8.07,,6.961,6.685,6.617,49.8063,0.14125,0.14125,,,,1.08,0.1348,0.1348,1.07,0.0488,0.0488,G0V,,,,5919.87,118.645,118.645,,,,False,True,True,False,True,False
HD 31527 b,Confirmed,,0.0025,0.0025,0.0363,0.0025,0.0025,,,,16.557,0.003,0.003,0.1253,0.002,0.002,0.16,0.05,0.05,,,,0.003246,2011,2019-02-12,,,,,,,,,,,,,,,,,,,,,,,,,2.84,0.13,0.13,,,,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,,,,HD 31527,73.9083333,-23.2419444,7.48,,,,,38.6,0.9,0.9,,,,,,,,,,G0V,,,,,,,,,,True,True,True,False,True,False
HD 31527 c,Confirmed,,0.00345,0.00345,0.0498,0.00345,0.00345,,,,51.2,0.03,0.03,0.2665,0.0044,0.0044,0.08,0.05,0.05,,,,0.006904,2011,2019-02-12,,,,,,,,,,,,,,,,,,,,,,,,,2.7,0.14,0.14,,,,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,,,,HD 31527,73.9083333,-23.2419444,7.48,,,,,38.6,0.9,0.9,,,,,,,,,,G0V,,,,,,,,,,True,True,True,False,True,False
HD 31527 d,Confirmed,,0.0257,0.0257,0.0519,0.0257,0.0257,,,,274.2,1.0,1.0,0.8181,0.0203,0.0203,0.67,0.08,0.08,,,,0.021194,2011,2019-02-12,,,,,,,,,,,,,,,,,,,,,,,,,1.77,0.36,0.36,,,,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,,,,HD 31527,73.9083333,-23.2419444,7.48,,,,,38.6,0.9,0.9,,,,,,,,,,G0V,,,,,,,,,,True,True,True,False,True,False
HD 3167 e,Confirmed,,0.003,0.003,0.02646,0.003,0.003,,,,96.63,0.3,0.3,0.3885,0.0075,0.0075,0.15,0.15,0.0,,,,,2022,2023-12-10,,,,,,,,,,,,,,,,,,,,,,,,,1.33,0.16,0.16,374.8,7.3,7.1,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,K2-96  e,,HD 3167,8.739684,4.381469,8.94,,7.548,7.203,,47.36,0.15,0.15,-0.02,0.17,0.17,0.94,0.04,0.04,0.87,0.01,0.01,K0 V,5.0,4.0,4.0,5528.0,162.0,162.0,,,"EPIC 220383386, HIP 2736, 2MASS J00345752+0422531, BD+03 68, K2-96, SAO 109291, TYC 0013-00894-1, WISE J003457.60+042251.4",False,False,True,False,True,False
HD 32518 b,Confirmed,,0.69,0.69,3.04,0.69,0.69,,,,157.54,0.38,0.38,0.59,0.03,0.03,0.01,0.03,0.03,,,,0.005026,2009,2009-08-12,306.11,126.71,126.71,2452950.29,13.66,13.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 32518,77.4041667,69.6394444,6.44,,,,,117.4,10.7,10.7,-0.15,0.04,0.04,1.13,0.18,0.18,10.22,0.87,0.87,K1III,5.83,2.58,2.58,4580.0,70.0,70.0,,,,False,False,True,False,True,False
HD 33142 d,Confirmed,,,,0.2,,,,,,89.9,,,0.452,,,0.35,,,,,,,2022,2022-06-09,210.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 33142,76.89809,-13.98648,7.96,,,,,126.0,11.0,11.0,0.05,0.03,0.03,1.54,0.1,0.1,4.36,0.1,0.1,K0III,3.0,0.4,0.4,4978.0,44.0,44.0,,,,False,False,True,False,True,False
HD 332231 b,Confirmed,0.244,0.021,0.021,,,,0.867,0.025,0.027,18.71204,0.00043,0.00043,0.1436,0.0033,0.0032,0.032,0.022,0.03,89.68,0.28,0.22,,2020,2022-02-21,47.0,74.0,69.0,,,,,,,2458729.67987,0.00038,0.00038,,,,,,,0.133,0.092,0.12,,,,17.3,1.2,1.2,,,,,,,,,,Submitted to a professional journal,Primary Transit,Radial Velocity,Primary Transit,TOI-1456 b,,HD 332231,306.74132496,33.7444513256,8.56,,,,,80.597,,,0.036,0.058,0.059,1.127,0.077,0.077,1.277,0.036,0.039,F8,4.3,1.9,2.5,6089.0,96.0,97.0,,,"TIC  199376584, TOI 1456",False,False,False,False,False,False
HD 33283 Ab,Confirmed,,,,0.33,,,0.99,,,18.1801,0.008,0.008,0.168,,,0.458,0.0656,0.0569,,,,0.001953,2006,2024-07-30,156.0,9.6,9.6,2453560.0,0.3,0.3,,,,,,,,,,,,,,,,,,,24.48,2.41,2.41,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 33283 A,77.0041667,-26.7972222,8.05,,,,,86.0,,,0.366,0.05,0.05,1.24,0.1,0.1,1.2,0.1,0.1,F9/G0V,3.2,2.3,2.3,5995.0,50.0,50.0,,,,False,False,False,False,True,False
