name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,unknown_teff,unknown_age,unknown_radius,unknown_period,unknown_impact,unknown_mag_v
HD 158259 f,Confirmed,,0.00431,0.00412,0.01932,0.00431,0.00412,,,,12.028,0.009,0.009,,,,,,,,,,,2019,2021-09-07,,,,,,,,,,,,,,,,,,,,,,,,,1.63327,0.34,0.35,,,,,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,,,HD 158259,261.350000008,52.7906,6.46,,,,,27.08,0.01,0.01,,,,1.08,0.1,0.1,1.21,0.08,0.03,G0,,,,,,,,,,True,True,True,False,True,False
HD 159243 b,Confirmed,,0.05,0.05,1.13,0.05,0.05,,,,12.62,0.004,0.004,0.11,0.002,0.002,0.02,0.018,0.018,,,,,2013,2014-08-25,223.0,93.0,93.0,2456426.11,0.21,0.21,,,,2456416.78,0.22,0.22,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 159243,263.341666674,5.700833348,8.65,,,,,69.2,5.5,5.5,0.05,0.04,0.04,1.125,0.03,0.03,,,,G0V,1.25,1.1,1.1,6123.0,65.0,65.0,,,,False,False,True,False,True,False
HD 159243 c,Confirmed,,0.13,0.13,1.9,0.13,0.13,,,,248.4,4.9,4.9,0.8,0.02,0.02,0.075,0.05,0.05,,,,,2013,2014-08-25,69.0,97.0,97.0,2456484.0,11.0,11.0,,,,2456428.0,102.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 159243,263.341666674,5.700833348,8.65,,,,,69.2,5.5,5.5,0.05,0.04,0.04,1.125,0.03,0.03,,,,G0V,1.25,1.1,1.1,6123.0,65.0,65.0,,,,False,False,True,False,True,False
HD 161178 b,Confirmed,,0.16,0.02,0.57,0.16,0.02,,,,279.3,0.8,1.0,0.84,0.07,0.07,0.044,0.015,0.13,,,,,2021,2021-12-16,300.0,70.0,180.0,2455296.6,12.0,218.0,,,,,,,,,,,,,,,,,,,17.0,2.3,1.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 161178,264.283333336,72.455833347,,,,,,,,,,,,,,,,,,G9 III,,,,,,,,,,True,True,True,False,True,True
HD 163607 b,Confirmed,,0.0098,0.0098,0.7836,0.0098,0.0098,1.269,,,75.2203,0.02,0.02,0.362,0.016,0.016,0.7441,0.0071,0.0071,,,,0.005217,2011,2018-12-21,79.6,1.3,1.3,2454185.93,0.15,0.15,,,,,,,,,,,,,,,,,,,52.34,0.74,0.74,,,,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,Theoretical,,,HD 163607,268.41873,56.39196,8.0,,,,,69.0,3.0,3.0,0.21,0.03,0.03,1.12,0.02,0.02,1.76,0.7,0.7,G5IV,8.6,6.0,6.0,5522.0,44.0,44.0,,,,False,False,False,False,True,False
HD 164509 Ab,Confirmed,,0.02,0.03,0.47,0.02,0.03,,,,282.4,3.8,3.8,0.875,0.008,0.008,0.26,0.14,0.14,,,,0.016827,2011,2025-03-24,324.0,110.0,110.0,2455703.0,30.0,30.0,,,,,,,,,,,,,,,,,,,14.2,2.7,2.7,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 164509 A,270.3791667,0.1044444,8.24,,,,,52.0,3.0,3.0,0.21,0.03,0.03,1.13,0.02,0.02,1.06,0.03,0.03,G5V,1.1,1.0,1.0,5922.0,44.0,44.0,,,,False,False,True,False,True,False
HD 164595 Ab,Confirmed,,0.00856,0.00856,0.0516,0.00856,0.00856,,,,40.0,0.24,0.24,0.23,,,0.088,0.066,0.12,,,,,2015,2024-08-02,145.0,110.0,160.0,2456280.0,12.0,12.0,,,,,,,,,,,,,,,,,,,3.05,0.41,0.41,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 164595 A,270.162500013,29.57194446,7.1,,,,,28.93,0.4,0.4,-0.04,0.08,0.08,0.99,0.03,0.03,,,,G2V,,,,5790.0,40.0,40.0,,,,False,True,True,False,True,False
HD 164922 c,Confirmed,,0.006,0.009,0.041,0.006,0.009,,,,75.74,0.06,0.06,0.341,0.004,0.004,0.12,0.09,0.11,,,,,2016,2020-05-08,330.0,76.0,108.0,2457564.7,3.2,2.7,,,,,,,,,,,,,,,,,,,2.2,0.2,0.2,400.5,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 164922,270.625,26.3127778,6.99,,,,,22.13,0.27,0.27,0.16,0.05,0.05,0.874,0.012,0.012,0.999,0.017,0.017,G9V,13.4,,,5293.0,32.0,32.0,,,,False,False,True,False,True,False
HD 164922 d,Confirmed,,0.0031,0.0031,0.0331,0.0031,0.0031,,,,12.458,0.003,0.003,0.12292,0.0027,0.0027,0.086,0.06,0.083,,,,,2020,2023-06-28,311.0,76.0,130.0,2457503.9,0.8,0.4,,,,,,,,,,,,,,,,,,,1.3,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 164922,270.625,26.3127778,6.99,,,,,22.13,0.27,0.27,0.16,0.05,0.05,0.874,0.012,0.012,0.999,0.017,0.017,G9V,13.4,,,5293.0,32.0,32.0,,,,False,False,True,False,True,False
HD 164922 e,Confirmed,,0.00311,0.00311,0.0331,0.00311,0.00311,,,,41.763,0.012,0.012,0.2292,0.0027,0.0027,0.086,0.06,0.083,,,,,2021,2021-05-27,343.0,50.0,74.0,,,,2455256.6,1.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 164922,270.625,26.3127778,6.99,,,,,22.13,0.27,0.27,0.16,0.05,0.05,0.874,0.012,0.012,0.999,0.017,0.017,G9V,13.4,,,5293.0,32.0,32.0,,,,False,False,True,False,True,False
